69152101	F. Kracht	Arbobegeleiding en reïntegratie	86922.0
51234130	Rijkswaterstaat Zuid-Holland	Wegenbouw	42111.0
20103569	Eironmental Monitoring Systems	Vervaardiging van meet-, regel-, navigatie- en controleapparatuur	2651.0
08054335	Bosexploitatie van den Nagel	Exploitatie van bossen	220.0
34123402	Shin-Etsu PVC	Vervaardiging van kunststof in primaire vorm	2016.0
20051183	SITA ReEnergy Roosendaal	Behandeling van onschadelijk afval	3821.0
33003790	Draka	Vervaardiging van overige elektrische en elektronische kabel	2732.0
75553953	Baffinland	Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten	4612.0
57976791	Neskrid 4Allfeet	Groothandel in schoenen	46424.0
01090676	NEDU	Dienstverlening voor de akker- en/of tuinbouw	161.0
51067536	SWARCO Nederland	Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)	46699.0
17141651	Stichting Maxima Medisch centrum	Algemene ziekenhuizen	86102.0
18066721	aarts & co kantoor- en projectinrichters	Groothandel in bedrijfsmeubels	4665.0
34035665	elco burners	Installatie van verwarmings- en luchtbehandelingsapparatuur	43222.0
02027119	perkinelmer health sciences	Vervaardiging van overige chemische producten (rest)	2059.0
73797669	schouten	Afwerking van vloeren en wanden	4333.0
34253334	stijl advocaten	Overige administratiekantoren	69209.0
22022768	van der straaten aannemingsmaatschappij	Wegenbouw	42111.0
73695823	breukelen	Fastfoodrestaurants, cafetaria's, ijssalons, eetkramen e.d.	56102.0
65934482	fhi	Winkels in overige elektrische huishoudelijke apparatuur	47543.0
61918970	jacobus recourt taxaties	Bemiddeling bij handel, huur of verhuur van onroerend goed	6831.0
34346368	meinema projectinrichting	Groothandel in bedrijfsmeubels	4665.0
04037246	westo prefab betonsystemen	Vervaardiging van producten van beton voor de bouw	23611.0
52147800	Baas	Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)	3212.0
24478193	KNMG	Praktijken van huisartsen	8621.0
17130261	Stater	Vervaardiging van bedrijfsmeubels	31012.0
08220030	Sallcon	Sociale werkvoorziening	32991.0
72346019	BCM+	Eventcatering	5621.0
67580270	Asten	Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe)	45112.0
14087235	Boels Zanders	Advocatenkantoren, bewindvoerders en curatoren	69101.0
63934469	Stichting Nostram	Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten	86929.0
70331790	Delft	Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn	88999.0
20031659	AncoferWaldram Steelplates	Groothandel in ferrometalen en -halffabrikaten	46722.0
17148719	Coreworks	Reclamebureaus	7311.0
60036370	Sidijk Heereeen	Groothandel in sportartikelen (geen watersport)	46496.0
40341460	Koninklijke Roeiers Vereeniging Eendracht	Beroepsorganisaties	9412.0
30151792	Vestas Benelux	Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen)	2811.0
64905047	Van Doorn Soest	Reparatie en onderhoud van overige transportmiddelen	3317.0
17066875	Philips Consumer Lifestyle	Vervaardiging van elektrische huishoudapparaten	2751.0
01057509	Visserijbedrijf C Nagel	Zee- en kustvisserij	311.0
73810797	AVAG	Beleggingsinstellingen in financiële activa	64301.0
77150015	NOA	Detailhandel via internet in huis- en tuinartikelen	47915.0
01134734	VTO	Reparatie en onderhoud van machines voor een specifieke bedrijfstak	33123.0
53767608	H Stegeman	Overige vleesveehouderij en zoogkoeienbedrijven	1422.0
51478811	beroep	Handelsbemiddeling gespecialiseerd in overige goederen	4618.0
62472895	de mar 2d	Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)	16239.0
20109714	kolpia klimaatonderzoek	Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)	72199.0
11032657	kusch + co	Groothandel in huismeubilair	46471.0
59579919	pitchparrot	Communicatie- en grafisch ontwerp	74101.0
80123872	studio buijs	Communicatie- en grafisch ontwerp	74101.0
01087061	van hall larenstein	Niet-universitair hoger onderwijs	8541.0
80170064	de wit	Dienstverlening voor de akker- en/of tuinbouw	161.0
24166911	quooker international	Vervaardiging van elektrische huishoudapparaten	2751.0
76042189	river	Detailhandel via internet in vrijetijdsartikelen	47916.0
17026532	Kampert-Nauta	Prepress- en premedia-activiteiten	1813.0
20159159	Amphia ziekenhuis	Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie)	86221.0
31006154	Dynniq Peek Traffic	Leggen van elektriciteits- en telecommunicatiekabels	4222.0
71665897	Alkmaar	Ondersteuning en begeleiding van gehandicapten	88103.0
20098690	NIVEL	Arbeidsbemiddeling	7810.0
08131046	Ten Kate & Huizinga	Accountants-administratieconsulenten	69202.0
33182306	Tom Tekst	Schrijven en overige scheppende kunst	9003.0
40530817	NKI-AVL	Categorale ziekenhuizen	86103.0
50233165	De Welplaat	Sociale werkvoorziening	32991.0
34373720	i2i	Overige administratiekantoren	69209.0
09183984	4real IT Solutions	Advisering op het gebied van informatietechnologie	6202.0
24228922	Saybolt Nederland	Weging en meting	52292.0
27228724	Mistras Group	Groothandel in meet- en regelapparaten	46695.0
09038453	Nu-Swift	Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)	46699.0
02321837	Ziegler Brandweertechniek	Carrosseriebouw	29201.0
58758305	Yevgenia	Groothandel in parfums en cosmetica	4645.0
02078901	3Force	Vervaardiging van ketels en radiatoren voor centrale verwarming	2521.0
30202950	Icopal	Vervaardiging van overige chemische producten (rest)	2059.0
24220080	Ravebo	Groothandel in verbrandingsmotoren, pompen en compressoren	46693.0
12035574	Munckhof Taxi	Vervoer per taxi	4932.0
30207515	MILabs	Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)	32502.0
33129581	Nestle Nederland	Vervaardiging van zuivelproducten (geen consumptie-ijs)	1051.0
35013100	Forbo Eurocol	Vervaardiging van lijm en bereide kleefmiddelen	2052.0
17082195	STABU	Groothandel in landbouwmachines, werktuigen en tractoren	4661.0
73190292	ESTA	Detailhandel via internet in huis- en tuinartikelen	47915.0
09153334	bruil beton & mix	Vervaardiging van stortklare beton	2363.0
39022746	feenstra verwarming	Installatie van verwarmings- en luchtbehandelingsapparatuur	43222.0
11070660	r-go solutions	Arbobegeleiding en reïntegratie	86922.0
06044102	tonzon	Overige bouwinstallatie	4329.0
32135710	creative change	Beleggingsinstellingen met beperkte toetreding	64303.0
70903824	stichting go	Accountants-administratieconsulenten	69202.0
34323643	pbl	Loodgieters- en fitterswerk; installatie van sanitair	43221.0
24130490	TLR Technisch Laboratorium Rotterdam	Weging en meting	52292.0
